City,AirportCode,AirportName,Country,CountryAbbrev  
Aberdeen,APG,Phillips AAF,United States,US 
Aberdeen,ABR,Municipal,United States,US 
Abilene,DYS,Dyess AFB,United States,US 
Abilene,ABI,Municipal,United States,US 
Abingdon,VJI,Virginia Highlands,United States,US 
Ada,ADT,Ada,United States,US 
Adak Island,ADK,Adak Island Ns,United States,US 
Adrian,ADG,Lenawee County,United States,US 
Afton,AFO,Municipal,United States,US 
Aiken,AIK,Municipal,United States,US 
Ainsworth,ANW,Ainsworth,United States,US 
Akhiok,AKK,Akhiok SPB,United States,US 
Akiachak,KKI,Spb,United States,US 
Akiak,AKI,Akiak,United States,US 
Akron CO,AKO,Colorado Plains Regional Airport,United States,US 
Akron/Canton OH,CAK,Akron/canton Regional,United States,US 
Akron/Canton,AKC,Fulton International,United States,US 
