
PId;PName;nationality;position;overall;age;goals;potential;team
158023;Lionel Messi;Argentina;ST|CF|RW;94;33;299;94;"FC Barcelona "
20801;Cristiano Ronaldo;Portugal;ST|LW;93;35;276;93;"Juventus "
190871;Neymar Jr;Brazil;CAM|LW;92;28;186;92;"Paris Saint-Germain "
203376;Virgil van Dijk;Netherlands;CB;91;29;127;92;"Liverpool "
200389;Jan Oblak;Slovenia;GK;91;27;47;93;"Atlético Madrid "
192985;Kevin De Bruyne;Belgium;CM|CAM;91;29;119;91;"Manchester City "
188545;Robert Lewandowski;Poland;ST;91;31;89;91;"FC Bayern München "
183277;Eden Hazard;Belgium;ST|LW;91;29;66;91;"Real Madrid "
212831;Alisson;Brazil;GK;90;27;53;91;"Liverpool "
209331;Mohamed Salah;Egypt;ST|RW;90;28;94;90;"Liverpool "
202126;Harry Kane;England;ST;89;27;64;91;"Tottenham Hotspur "
194765;Antoine Griezmann;France;ST|CF|LW;89;29;66;89;"FC Barcelona "
182521;Toni Kroos;Germany;CM;89;30;37;89;"Real Madrid "
177003;Luka Modric;Croatia;CM;89;34;31;89;"Real Madrid "
176580;Luis Suarez;Uruguay;ST;89;33;54;89;"FC Barcelona "
167495;Manuel Neuer;Germany;GK;89;34;42;89;"FC Bayern München "
155862;Sergio Ramos;Spain;CB;89;34;55;89;"Real Madrid "
210257;Ederson;Brazil;GK;88;26;40;91;"Manchester City "
202652;Raheem Sterling;England;RW|LW;88;25;61;90;"Manchester City "
201942;Roberto Firmino;Brazil;CF;88;28;79;88;"Liverpool "
201024;Kalidou Koulibaly;Senegal;CB;88;29;78;90;"Napoli "
200145;Casemiro;Brazil;CDM;88;28;37;89;"Real Madrid "
193080;De Gea;Spain;GK;88;29;39;88;"Manchester United "
192119;Thibaut Courtois;Belgium;GK;88;28;34;89;"Real Madrid "
189511;Sergio Busquets;Spain;CDM;88;32;34;88;"FC Barcelona "
188567;Pierre-Emerick Aubameyang;Gabon;ST|LM;88;31;114;88;"Arsenal "
165153;Karim Benzema;France;ST|CF;88;32;51;88;"Real Madrid "
162835;Samir Handanovic;Slovenia;GK;88;36;13;88;"Inter "
138956;Giorgio Chiellini;Italy;CB;88;35;19;88;"Juventus "
218667;Bernardo Silva;Portugal;CM|CAM|RW;87;25;53;90;"Manchester City "
212622;Joshua Kimmich;Germany;RB|CDM|CM;87;25;82;90;"FC Bayern München "
212218;Aymeric Laporte;France;CB;87;26;38;90;"Manchester City "
211110;Paulo Dybala;Argentina;CAM|CF;87;26;95;90;"Juventus "
200104;Heung Min Son;Korea Republic;LM|CF;87;28;75;87;"Tottenham Hotspur "
199556;Marco Verratti;Italy;CDM|CM;87;27;45;88;"Paris Saint-Germain "
195864;Paul Pogba;France;CDM|CM;87;27;70;88;"Manchester United "
193041;Keylor Navas;Costa Rica;GK;87;33;28;87;"Paris Saint-Germain "
192387;Ciro Immobile;Italy;ST;87;30;130;87;"Lazio "
190460;Christian Eriksen;Denmark;RM|CM|CAM;87;28;48;87;"Inter "
189513;Parejo;Spain;CM;87;31;14;87;"Valencia CF "
188350;Marco Reus;Germany;CAM|CF;87;31;42;87;"Borussia Dortmund "
186153;Wojciech Szczesny;Poland;GK;87;30;17;88;"Juventus "

